name,County or Counties,Acres,Year,Water Body(s),lat,long,Remarks,Image,url,address,description,type
Welsh Lake State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/welsh_lake_state_forest_in_minnesota.html,NA,"Welsh Lake State Forest is a picturesque and tranquil forested area located in the northern part of Minnesota. This state forest spans over thousands of acres, featuring dense and diverse woodlands, pristine lakes, and charming meadows. With its rolling hills and abundant wildlife, it provides endless opportunities for outdoor enthusiasts to indulge in activities such as hiking, camping, fishing, and birdwatching. The forest's serene atmosphere, coupled with its well-maintained trails and scenic beauty, make it a perfect destination for nature lovers seeking solitude and peacefulness amidst the breathtaking landscapes of Minnesota.",state forest
White Earth State Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/white_earth_state_forest_in_minnesota.html,NA,"The White Earth State Forest, located in northwestern Minnesota, is a scenic expanse of natural beauty and wilderness. Spread over thousands of acres, it offers a diverse range of landscapes, including dense forests, rolling hills, and crystal-clear lakes. The forest is home to an abundance of wildlife, such as deer, black bears, and a variety of bird species. Visitors can enjoy a plethora of outdoor activities, such as hiking, fishing, camping, and hunting. With its tranquil atmosphere and stunning views, the White Earth State Forest provides an immersive escape into nature, allowing visitors to unwind and reconnect with the great outdoors.",state forest
Boekholt Grove Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/boekholt_grove_state_wildlife_management_area_in_minnesota.html,NA,NA,wildlife management area
Carlos Avery Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/carlos_avery_state_wildlife_management_area_in_minnesota.html,NA,"Carlos Avery WMA is Approximately 23,000 acres. It consists of about 2/3 wetland 1/3 upland and is managed primarily for Deer, Waterfowl and Turkeys. There are 20 Pools where water is actively managed to produce habitat for waterfowl.Very popular area for Bird Watching4,500 acres of the area are posted as Wildlife Sanctuary and closed to all trespassing.18 Wheelchair accessible blinds are available for use during the Turkey season or as part of a special Deer hunt conducted by Capable Partners.Trapping permits are required to trap any species on the WMA.",wildlife management area
Cooks Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/cooks_state_wildlife_management_area_in_minnesota.html,NA,NA,wildlife management area
Coon Lake Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/coon_lake_state_wildlife_management_area_in_minnesota.html,NA,NA,wildlife management area
Lac Qui Parle Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/lac_qui_parle_state_wildlife_management_area_in_minnesota.html,"14047 20th Street NorthwestWatson, Minnesota   56295","Lac qui Parle is a French translation of the name given to the lake by the Dakota Indians who called it the ""lake that speaks."" If you visit in the spring or fall you'll understand why. The lake is a stop over for thousands of migratory Canada geese and other waterfowl. You'll hear a chorus of honking, quacking, and other vocalizations. Paddle the lake, or cast a line and catch walleye, northerns, perch, or crappie. Explore one of the trails by foot or horseback. Visit the historic Fort Renville and Lac qui Parle mission sites. While in the area, be sure to visit the 27,000 acre Lac qui Parle Wildlife Management Area.",wildlife management area
Little Elk Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/little_elk_state_wildlife_management_area_in_minnesota.html,NA,NA,wildlife management area
Malardi Lake Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/malardi_lake_state_wildlife_management_area_in_minnesota.html,NA,NA,wildlife management area
Talcot Lake Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/talcot_lake_state_wildlife_management_area_in_minnesota.html,NA,NA,wildlife management area
Teiken-Dalve Wildlife Mgmt. Area,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/teiken-dalve_state_wildlife_management_area_in_minnesota.html,NA,NA,wildlife management area
Voyageurs National Park,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/voyageurs_national_park_in_minnesota.html,56649,"The park lies in the southern part of the Canadian Shield, representing some of the oldest exposed rock formations in the world. This bedrock has been shaped and carved by at least four periods of glaciation. The topography of the park is rugged and varied rolling hills are interspersed between bogs, beaver ponds, swamps, islands, small lakes and four large lakes. In the years since the last glaciation, a thin layer of soil has been created which supports the boreal forest ecosystem, the North Woods of Voyageurs National Park.This land is rich in human history. Named for the Voyageurs, French-Canadian canoe-men who traveled these waters in their birch-bark canoes from the Great Lakes to the interior of the western United States and Canada. Modern voyageurs continue to ply these waters. The water, accompanying scenery, geology and rich cultural and natural resources that give Voyageurs its national significance, merits its protection for the enjoyment of present and future generations.On the northern edge of Minnesota's border, 55 miles of the park meander along the Canadian border with Ontario. Voyageurs is about 15 miles east of International Falls, MN and 300 miles north of Minneapolis-St. Paul, MN.Voyageurs is a water based park. Access to the Kabetogama peninsula, the islands and nearly all of the park's shoreline is by watercraft. Free public boat ramps and parking are available at the park's visitor centers and at the Kabetogama State Forest Campgrounds.",national park
Chippewa National Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/chippewa_national_forest_in_minnesota.html,"3Cass Lake, Minnesota   56633","Located in northern Minnesota, lies the Chippewa National Forest.  The Forest boundary encompasses about 1.6 million acres, of which about 665,000 acres are managed by the USDA Forest Service.  Aspen, birch, pines, balsam fir, and maples blanket the rolling uplands of the forest.  In between, water is abundant, with over 700 lakes, 920 miles of rivers and streams, and 150,000 acres of wetlands.  The forest landscape is a reminder of the glaciers that blanketed northern Minnesota some 10,000 years ago.",national forest
Superior National Forest,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/superior_national_forest_in_minnesota.html,"8901 Grand Avenue PlaceDuluth, Minnesota   55808","Located in northeastern Minnesota's arrowhead region, lies the Superior National Forest comprising three million acres.  The Forest spans 150 miles along the United States-Canadian border.  Here you can find recreation opportunities year round, including travel in the <A HREF=""http://www.superiornationalforest.org/bwcaw/""> Boundary Waters Canoe Area Wilderness </A>.",national forest
Agassiz National Wildlife Refuge,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/agassiz_national_wildlife_refuge_in_minnesota.html,"7Middle River, Minnesota   56737","Agassiz National Wildlife Refuge is located in northwest Minnesota. Packs of wolves, moose, waterfowl, and   280 species of birds make this refuge a wildlife wonderland. The refuge, originally named Mud Lake Migratory   Waterfowl Refuge, was established in 1937 primarily for waterfowl production and maintenance. Located in   eastern Marshall County, the contiguous 61,500 acres are situated in the aspen parkland region of northwest   Minnesota. This area is a transition zone, where coniferous forests, tallgrass prairie, and the  prairie pothole region of the Red River Valley meet. The refuge lies in the bed of glacial Lake Agassiz, resulting   in a very flat terrain, and is dominated by expansive wetlands.     <P>A diversity of wildlife species inhabit the refuge, including 287 bird species, 49 mammals, 12 amphibians,   and nine reptiles. A large Franklin's gull colony of approximately 20,000 breeding pairs is located on the   refuge. Agassiz is one of only a few refuges with resident packs of gray wolves in the lower 48 states. The   resident moose herd of approximately 100 animals has long attracted refuge visitors from many states and   countries. In 1976, 4,000 acres of the refuge were designated a Wilderness Area. Each year over 20,000 visitors   enjoy wildlife viewing on Agassiz Refuge's self-guided auto tour route and hiking trails.    <P>Historically, this area was a paradise for waterfowl and other wildlife.  In 1910, in an effort to improve farming operations, an extensive drainage project was approved by Marshall County. By 1933, approximately one million dollars had been spent trying to drain the Mud Lake area. Farming proved unsuccessful.  Marshall County become so tax delinquent that the State Legislature protected the County from bankruptcy but, in return, retained the right to use the lands for conservation purposes. The State negotiated the land transfer to the National Wildlife Refuge System in 1937.     <P>Today, Agassiz is composed of 40,100 acres of wetlands, 10,000 acres of shrublands, 7,000 acres of forestland, 4250 acres of grassland, and 150 acres of cropland. The Wilderness Area encompasses one of the most westerly extensions of black spruce-tamarack bog in Minnesota.  Two lakes in the area were formed by deep peat fires which occurred prior to settlement of the area. <P>",wildlife refuge
Mille Lacs National Wildlife Refuge,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/mille_lacs_national_wildlife_refuge_in_minnesota.html,NA,"Mille Lacs National Wildlife Refuge was established in 1915 and is known as the smallest refuge in the National Wildlife Refuge System.  The refuge is comprised of two small islands (0.57 acres total) over a mile from shore on Lake Mille Lacs in north-central Minnesota. The islands are boulder and gravel outcrops important for colonial nesting birds, including common terns, ring-billed and herring gulls, and double-crested cormorants. The refuge harbors one of only four common tern breeding colonies (a state threatened species) in Minnesota.     <P>The refuge is managed by staff at the Rice Lake National Wildlife Refuge. <P>",wildlife refuge
Minnesota Valley National Wildlife Refuge,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/minnesota_valley_national_wildlife_refuge_in_minnesota.html,"3815 East 80th St.Bloomington, Minnesota   55425","Minnesota Valley National Wildlife Refuge is located within the urban and suburban areas of Minneapolis and St. Paul.  It is a green belt of large marsh areas bordered by office buildings, highways, residential areas, and grain terminals. The refuge is comprised of eight linear units totaling approximately 12,500 acres, spanning 34 miles of the Minnesota River.    <P>Refuge habitats include riverine wetlands, fens, seeps, floodplain forests, oak savannas and forest, and native grasslands. More than 250 species of birds use the area at some time during the year, including nesting bald eagles and peregrine falcons. The avian diversity is complemented by at least fifty species of mammals and thirty species of reptiles and amphibians.     <P>The focal point of the refuge is the Visitor Center, which features 8,000 square feet of exhibit space, a 125-seat auditorium, two multi-purpose classrooms, a bookstore, an art gallery, and an observation deck. Environmental education and interpretation are conducted from this facility. Recreational activities include hiking, biking, cross-country skiing, hunting, and fishing. <P>",wildlife refuge
Rice Lake National Wildlife Refuge,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/rice_lake_national_wildlife_refuge_in_minnesota.html,"36289 State Highway 65McGregor, Minnesota   55760","The 18,064-acre Rice Lake National Wildlife Refuge was established in 1935 and is located in the scenic forest and bog area of northern Minnesota. Visitors can enjoy a range of habitats, including lake, river, bog and hardwood forest.     <P>The Refuge's history centers around the 4,500-acre Rice Lake which, for thousands of years, has supplied an abundant wild rice crop. Each fall, the bountiful rice attracts hundreds of thousands of waterfowl, as well as American Indians who harvest it using traditional methods. Rice Lake is known for its tremendous number of ring-necked ducks.  Because of the high concentrations of migratory birds, Rice Lake Refuge has been designated as a Globally Important Bird Area by the American Birding Association.     <P>Refuge wildlife includes black bear, gray wolf, bobcat, and songbirds.  The refuge is a destination for winter birders looking for northern owls. In its early years, the refuge housed a resident Civilian Conservation Corps Camp, whose members built many of the facilities.     <P>The 2,045-acre Sandstone Unit of Rice Lake National Wildlife Refuge was acquired in 1970 through a land exchange with the U.S. Department of Justice. Sandstone is located in central Minnesota, in an area once known for expanses of towering white pine forests. Today, visitors enjoy a rustic and natural setting that includes a portion of the Wild and Scenic Kettle River. Birders will find plentiful neo-tropical migrants in the spring and fall. Sandstone's wildlife includes black bear, sandhill cranes, white-tailed deer and songbirds.     <P>The one-half-acre Mille Lacs National Wildlife Refuge, located in Mille Lacs Lake, is also administered from Rice Lake Refuge. <P>",wildlife refuge
Sherburne National Wildlife Refuge,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/sherburne_national_wildlife_refuge_in_minnesota.html,"17076 293rd Ave.Zimmerman, Minnesota   55398","Sherburne National Wildlife Refuge is located in the St. Francis River Valley, which is known as one of the  finest wildlife areas in the state.  The wildlife value of the valley was severely reduced in the early 1900s,  when the area was drained for agriculture.  Congress established this 30,600-acre refuge in 1965 with  Federal Migratory Bird Hunting Stamp (Duck Stamp) funds. Land acquisition continued for the next decade.  Restoration of wetlands was completed in the mid-1980s, and upland restoration is on-going.     <P>With 23 impoundments and numerous natural lakes and wetlands, the refuge provides habitat for a variety of waterfowl, wading/water birds, and bald eagles. White-tailed deer, eastern bluebirds, gopher snakes, and other species associated with oak savanna and prairie habitats benefit from upland management.  The refuge is a major greater sandhill crane nesting and staging area.     <P>The flat-to-gently-rolling topography of the refuge lies within the transition zone of two major ecosystems - deciduous hardwood forest and tallgrass prairie. There are approximately 14,000 acres of wetlands and natural lakes, 8,000 acres grassland openings, 8,000 acres of woodlands and oak savanna, and 35 river miles on the St. Francis River. <P>",wildlife refuge
Tamarac National Wildlife Refuge,NA,NA,NA,NA,NA,NA,NA,NA,https://stateparks.com/tamarac_national_wildlife_refuge_in_minnesota.html,"35704 County Highway 26Rochert, Minnesota   56578","Tamarac National Wildlife Refuge covers 42,724 acres and lies in the glacial lake country of northwestern Minnesota in Becker County, 18 miles northeast of Detroit Lakes.  It was established in 1938 as a refuge breeding ground for migratory birds and other wildlife. Refuge topography consists of rolling forested hills interspersed with lakes, rivers, marshes, and shrub swamps. Vegetation is diverse due to the refuge's location in the transition zone between northern hardwood and coniferous forests. Historically, the tallgrass prairie extended into the refuge.    <P>Refuge wildlife consists of over 258 species of birds and 50 species of mammals. Bald eagles are common with up to 23 pairs producing as many as 33 young in recent years. Moose and timber wolves are seen occasionally.     <P>The northern half of Tamarac lies within the original White Earth Chippewa Indian Reservation Boundary.   Between 1890 and 1930, the refuges original stands of red and white pine were logged.  Settlers followed, but farming never achieved much prominence due to the thick forest, marginal soils and numerous wetlands.  Early refuge development was achieved by a Conservation Corps camp in the 1930s and further enhanced in the 1960s by a Job Corps Center.    <P>The Tamarac Wetland Management District is also managed out of this office.  Service staff oversee nine conservation easements, totaling 2,880 acres, in Clearwater and Cass counties.  Staff assist private landowners with managing their properties to benefit migrating and nesting waterfowl.  Technical assistance for wildlife projects is also provided to interested landowners. <P>",wildlife refuge
Grand pPortage State Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Torrents of wild water plummet 120 feet over the High Falls down to the Pigeon River in this park on the U.S. - Canadian border. The falls, the highest in the state, presented a serious obstacle to river travel, so a ""carrying place,"" or portage, was necessary. American Indians created the ancient nine-mile trail from Lake Superior to bypass the falls. This trail became known as ""The Grand Portage."" Today, visitors of all abilities can take a one-half mile trail and boardwalk to the falls overlook area. The park is designed for day use only and contains mixed hardwood-conifer forests and hiking trails along the banks of the Pigeon River. The spectacular scenery sets the stage for recreational opportunities that include hiking, photography, and picnicking. The park lies within the Grand Portage Indian Reservation and is bordered by Canada on the north and east. Lake Superior is about one mile east of the park.",state park
